objid,myRA,SDSS_RA,myDEC,SDSS_DEC,distance,modelMag_g,modelMag_r,modelMag_i,cModelMag_g,cModelMag_r,cModelMag_i,petroMag_g,petroMag_r,petroMag_i,petroRad_g,petroRad_r,petroRad_i
1237658300594970000,129.1385,129.138685,5.178481,5.178440187,0.01108534,17.42266,17.12155,17.32836,17.4379,17.12153,17.61302,17.45743,17.14617,17.92425,17.15837,17.57472,10.60965
1237658300595040000,129.1715,129.1713905,5.27333,5.273539498,0.013283176,17.65418,17.45769,17.46578,17.68839,17.45771,17.4195,17.66981,17.48165,17.44624,4.598266,4.898006,5.034364
1237658300597860000,135.7503,135.750324,5.80656,5.80652746,0.003533099,18.0399,17.79392,17.73387,17.96993,17.68427,17.63132,18.05476,17.76023,17.71909,7.155807,7.568038,7.538536
1237658300597990000,135.9465,135.9464834,5.80668,5.80669626,0.001852796,17.12202,16.62104,16.38971,17.29159,16.62104,16.40217,17.4014,16.8179,16.58627,6.640236,7.672355,7.239929
1237658300603430000,148.4812,148.4811551,7.04656,7.046570445,0.001123651,16.37318,16.16626,16.05979,16.53263,16.22614,16.02016,16.64352,16.38674,16.22245,6.436059,7.486883,8.051211
1237658300605790000,153.9255,153.9254402,7.32786,7.327855806,0.00124806,15.31901,14.58524,14.19901,15.22258,14.58954,14.26192,15.24253,14.58509,14.25472,32.67387,29.921,27.54969
1237658422475550000,149.674,149.6740205,5.26436,5.264282072,0.004841706,16.18842,15.66157,15.41928,16.16796,15.6616,15.45727,16.29829,15.77769,15.56055,18.22485,18.10901,18.08058
1237658422476210000,151.1986,151.1986187,5.368597,5.368597558,0.000615882,15.99997,15.5004,15.30836,15.96223,15.5004,15.34824,15.94823,15.4661,15.33019,18.74799,19.08705,18.05972
1237658422476270000,151.2453,151.2452735,5.36467,5.364673061,0.000714006,17.76777,17.44819,17.29314,17.76937,17.39159,17.17922,17.75214,17.40391,17.19648,5.010491,5.997903,6.479175
1237658422476730000,152.3224,152.3223074,5.40408,5.4040519,0.004235506,20.83628,20.79129,19.69909,20.91588,20.79134,18.81501,21.05312,20.92613,18.85561,1.449055,1.429859,2.572404
1237658422476730000,152.4179,152.4179298,5.28598,5.28598944,0.000688231,17.97049,17.61048,17.43124,17.93488,17.59571,17.43316,18.01118,17.63655,17.50002,7.181859,7.355321,6.899235
1237658422482370000,165.3206,165.3205938,6.07273,6.072720935,0.000751496,17.88183,17.61594,17.56462,17.8567,17.45811,17.42377,17.87484,17.52478,17.43227,4.004497,4.826287,5.168715
1237658422482890000,166.4337,166.4336344,6.217487,6.217810132,0.019434391,17.71056,17.43905,17.20764,17.70696,17.4059,16.91932,17.60739,17.32029,16.87143,9.557125,9.651356,14.16737
1237658423015760000,157.3145,157.3145945,6.12808,6.128103958,0.003302656,14.98599,14.31077,13.97179,14.85497,14.31469,14.03485,14.95067,14.42389,14.1217,32.72256,31.10913,27.22368
1237658423015960000,157.6845,157.6844519,6.12708,6.12706909,0.005286034,21.49881,21.52785,21.95436,21.5423,21.52781,21.6674,21.6918,21.71364,21.85299,1.495371,1.441367,1.397166
1237658423021460000,170.3476,170.3476014,6.66711,6.66712529,0.001717712,17.25533,17.10674,17.14202,17.22622,16.984,17.01838,17.24701,17.02763,17.01825,6.798825,7.422697,7.628195
1237658423022450000,172.6812,172.681199,6.88349,6.883487163,0.000874286,17.41736,17.17571,17.07053,17.3949,17.10469,16.96241,17.4289,17.16362,17.05154,3.635471,3.864805,3.854061
1237658423551190000,153.9028,153.9028513,6.34782,6.347821728,0.000264821,16.95379,16.45267,16.22388,16.84678,16.39785,16.20581,16.93734,16.46679,16.2937,11.42286,10.57029,9.369865
1237658423554800000,162.2815,162.2815178,6.91728,6.917358253,0.004865124,14.34391,13.75369,13.47873,14.24459,13.65349,13.35656,14.29667,13.72684,13.43896,21.43201,21.65311,22.25183
1237658423561090000,176.7507,176.7506436,7.3242,7.324201233,0.00074717,17.79257,17.49421,17.37824,17.64635,17.43736,17.38837,17.77627,17.54897,17.49326,9.602456,9.348674,9.170783
1237658424075680000,125.5565,125.5565495,4.1977,4.19769611,0.000236092,16.01093,15.28826,14.92642,16.07913,15.37959,14.98329,16.17179,15.46517,15.08125,8.441095,8.251742,8.587547
